ts,state,d_min_mm,ttc_s,target_deg,reason
1760008871.319,SAFE,,,0,no_measure_keep
1760008871.519,BRAKE,237.09999999999997,0.47,140,dist<600
1760008871.719,BRAKE,241.64,0.48,140,tick
1760008871.919,BRAKE,241.64,0.48,140,tick
1760008872.120,BRAKE,244.01399999999998,0.49,140,tick
1760008872.320,BRAKE,245.98839999999998,0.49,140,tick
1760008872.520,BRAKE,247.07304,0.49,140,tick
1760008872.720,BRAKE,247.643824,0.5,140,tick
1760008872.921,BRAKE,248.2562944,0.5,140,tick
1760008873.121,BRAKE,248.56377664,0.5,140,tick
1760008873.321,BRAKE,248.8733063936,0.5,140,tick
1760008873.521,BRAKE,248.908265984,0.5,140,tick
1760008873.722,BRAKE,249.09398383616,0.5,140,tick
1760008873.922,BRAKE,249.31639030169598,0.5,140,tick
1760008874.122,BRAKE,249.78983418101757,0.5,140,tick
1760008874.322,BRAKE,250.43390050861052,0.5,140,tick
1760008874.522,BRAKE,250.9903403051663,0.5,140,tick
1760008874.723,BRAKE,251.1742041830998,0.5,140,tick
1760008874.923,BRAKE,251.37452250985987,0.5,140,tick
1760008875.123,BRAKE,252.17388540236635,0.5,140,tick
1760008875.323,BRAKE,252.4347135059159,0.5,140,tick
1760008875.524,BRAKE,252.22873249656794,0.5,140,tick
1760008875.724,BRAKE,252.6843312414198,0.51,140,tick
1760008875.924,BRAKE,254.2798957991763,0.51,140,tick
1760008876.124,BRAKE,254.2798957991763,0.51,140,tick
1760008876.325,BRAKE,253.39195831967052,0.51,140,tick
1760008876.525,BRAKE,253.39195831967052,0.51,140,tick
1760008876.725,BRAKE,253.52306999672092,0.51,140,tick
1760008876.926,BRAKE,253.54653679921302,0.51,140,tick
1760008877.126,BRAKE,253.65384199803253,0.51,140,tick
1760008877.326,BRAKE,253.54653679921302,0.51,140,tick
1760008877.527,BRAKE,253.66792207952778,0.51,140,tick
1760008877.727,BRAKE,254.91330129908664,0.51,140,tick
1760008877.927,BRAKE,255.00798077945197,0.51,140,tick
1760008878.127,BRAKE,255.22478846767117,0.51,140,tick
1760008878.328,BRAKE,255.22478846767117,0.51,140,tick
1760008878.528,BRAKE,255.6548730806027,0.51,140,tick
1760008878.728,BRAKE,342.6911695393446,0.69,140,tick
1760008878.928,BRAKE,407.8747017236068,0.82,140,tick
1760008879.129,BRAKE,454.40482103416406,0.91,140,tick
1760008879.329,BRAKE,483.66289262049844,0.97,140,tick
1760008879.529,BRAKE,484.05309422891963,0.97,140,tick
1760008879.729,BRAKE,484.05309422891963,0.97,140,tick
1760008879.930,BRAKE,484.05309422891963,0.97,140,tick
1760008880.130,BRAKE,481.18623769156784,0.96,140,tick
1760008880.330,BRAKE,424.7016970459763,0.85,140,tick
1760008880.531,BRAKE,424.5914072910343,0.85,140,tick
1760008880.731,BRAKE,389.8856788183905,0.78,140,tick
1760008880.931,BRAKE,424.5914072910343,0.85,140,tick
1760008881.132,BRAKE,390.64397509993927,0.78,140,tick
1760008881.332,BRAKE,390.64397509993927,0.78,140,tick
1760008881.533,BRAKE,390.64397509993927,0.78,140,tick
1760008881.733,BRAKE,422.3455540239854,0.84,140,tick
1760008881.934,BRAKE,432.92733241439123,0.87,140,tick
1760008882.134,BRAKE,807.2763994486347,1.61,140,tick
1760008882.335,SAFE,1019.9458396691807,2.04,0,brake_release_ok
1760008882.535,SAFE,1140.6875038015085,2.28,0,tick
1760008882.735,SAFE,1210.012502280905,2.42,0,tick
1760008882.936,SAFE,1252.3775013685429,2.5,0,tick
1760008883.136,SAFE,1279.2665008211256,2.56,0,tick
1760008883.336,SAFE,1295.6299004926755,2.59,0,tick
1760008883.537,SAFE,1305.3279402956052,2.61,0,tick
1760008883.737,SAFE,1311.236764177363,2.62,0,tick
1760008883.937,SAFE,1313.9720585064179,2.63,0,tick
1760008884.138,SAFE,1314.7432351038506,2.63,0,tick
1760008884.338,SAFE,1315.0359410623103,2.63,0,tick
1760008884.538,SAFE,1315.521564637386,2.63,0,tick
1760008884.738,SAFE,1316.5329387824315,2.63,0,tick
1760008884.939,SAFE,1316.5329387824315,2.63,0,tick
1760008885.139,SAFE,1316.6497632694588,2.63,0,tick
1760008885.339,SAFE,1316.4999053077834,2.63,0,tick
1760008885.540,SAFE,1313.8285863643207,2.63,0,tick
1760008885.740,SAFE,1313.8285863643207,2.63,0,tick
1760008885.940,SAFE,1314.9971518185923,2.63,0,tick
1760008886.140,SAFE,1316.0382910911553,2.63,0,tick
1760008886.341,SAFE,1316.0382910911553,2.63,0,tick
1760008886.541,SAFE,1314.0899139171263,2.63,0,tick
1760008886.742,SAFE,1314.0899139171263,2.63,0,tick
1760008886.942,SAFE,1314.0899139171263,2.63,0,tick
1760008887.142,SAFE,1314.3239483502757,2.63,0,tick
1760008887.343,SAFE,1309.2995793401103,2.62,0,tick
1760008887.543,SAFE,1317.2397476040662,2.63,0,tick
1760008887.743,SAFE,1320.5298157699904,2.64,0,tick
1760008887.943,SAFE,1320.5298157699904,2.64,0,tick
1760008888.144,SAFE,890.9419263079961,1.78,0,tick
1760008888.344,BRAKE,559.0867705231985,1.12,140,dist<600
1760008888.544,BRAKE,374.0247082092794,0.75,140,tick
1760008888.745,BRAKE,289.07988328371175,0.58,140,tick
