ts,state,d_min_mm,v_mps,ttc_s,target_deg,reason
1760011577.810,SAFE,,0.0,0.0,0,
1760011578.411,BRAKE,418.54999999999995,0.0,0.0,140,dist_or_ttc_below_brake
1760011578.592,BRAKE,963.89,0.0,0.0,140,dist_or_ttc_below_brake
1760011578.773,BRAKE,963.89,0.0,0.0,140,dist_or_ttc_below_brake
1760011578.954,BRAKE,1257.5339999999999,0.0,0.0,140,dist_or_ttc_below_brake
1760011579.135,BRAKE,1477.2803999999999,0.0,0.0,140,dist_or_ttc_below_brake
1760011579.316,BRAKE,1640.799296,0.0,0.0,140,dist_or_ttc_below_brake
1760011579.497,BRAKE,1640.799296,0.0,0.0,140,dist_or_ttc_below_brake
1760011579.678,BRAKE,1640.799296,0.0,0.0,140,dist_or_ttc_below_brake
1760011579.859,BRAKE,1683.49983104,0.0,0.0,140,dist_or_ttc_below_brake
1760011580.040,BRAKE,1735.819898624,0.0,0.0,140,dist_or_ttc_below_brake
1760011580.220,BRAKE,1763.6119391744,0.0,0.0,140,dist_or_ttc_below_brake
1760011580.402,BRAKE,1782.24716350464,0.0,0.0,140,dist_or_ttc_below_brake
1760011580.582,BRAKE,1796.588298102784,0.0,0.0,140,dist_or_ttc_below_brake
1760011580.764,BRAKE,1796.588298102784,0.0,0.0,140,dist_or_ttc_below_brake
1760011580.945,BRAKE,1773.8011915446682,0.0,0.0,140,dist_or_ttc_below_brake
1760011581.125,BRAKE,1726.0482859707204,0.0,0.0,140,dist_or_ttc_below_brake
1760011581.306,BRAKE,1725.119314388288,0.0,0.0,140,dist_or_ttc_below_brake
1760011581.487,BRAKE,1726.0482859707204,0.0,0.0,140,dist_or_ttc_below_brake
1760011581.668,BRAKE,1728.3515886329728,0.0,0.0,140,dist_or_ttc_below_brake
1760011581.849,BRAKE,1734.2109531797837,0.0,0.0,140,dist_or_ttc_below_brake
1760011582.030,BRAKE,1734.2109531797837,0.0,0.0,140,dist_or_ttc_below_brake
1760011582.211,BRAKE,1700.805577257889,0.0,0.0,140,dist_or_ttc_below_brake
1760011582.392,BRAKE,1700.805577257889,0.0,0.0,140,dist_or_ttc_below_brake
1760011582.573,BRAKE,1711.4433463547332,0.0,0.0,140,dist_or_ttc_below_brake
1760011582.754,BRAKE,1764.6660078128398,0.0,0.0,140,dist_or_ttc_below_brake
1760011582.935,BRAKE,1764.6660078128398,0.0,0.0,140,dist_or_ttc_below_brake
1760011583.116,BRAKE,1775.7391051250488,0.0,0.0,140,dist_or_ttc_below_brake
1760011583.297,BRAKE,1748.6318418750814,0.0,0.0,140,dist_or_ttc_below_brake
1760011583.478,BRAKE,1775.7391051250488,0.0,0.0,140,dist_or_ttc_below_brake
1760011583.659,BRAKE,1745.2356420500194,0.0,0.0,140,dist_or_ttc_below_brake
1760011583.839,BRAKE,1754.4323324552029,0.0,0.0,140,dist_or_ttc_below_brake
1760011584.020,BRAKE,1735.5205540920047,0.0,0.0,140,dist_or_ttc_below_brake
1760011584.201,BRAKE,1747.1677597892485,0.0,0.0,140,dist_or_ttc_below_brake
1760011584.383,BRAKE,1747.1677597892485,0.0,0.0,140,dist_or_ttc_below_brake
1760011584.564,BRAKE,1747.1677597892485,0.0,0.0,140,dist_or_ttc_below_brake
1760011584.744,BRAKE,1718.6921574096518,0.0,0.0,140,dist_or_ttc_below_brake
1760011584.925,BRAKE,1718.6921574096518,0.0,0.0,140,dist_or_ttc_below_brake
1760011585.106,BRAKE,1746.3701177783164,0.0,0.0,140,dist_or_ttc_below_brake
1760011585.288,BRAKE,1746.3701177783164,0.0,0.0,140,dist_or_ttc_below_brake
1760011585.468,BRAKE,1717.1688282667958,0.0,0.0,140,dist_or_ttc_below_brake
1760011585.649,BRAKE,1717.1688282667958,0.0,0.0,140,dist_or_ttc_below_brake
1760011585.830,BRAKE,1720.9412969600774,0.0,0.0,140,dist_or_ttc_below_brake
1760011586.011,BRAKE,1726.8047781760463,0.0,0.0,140,dist_or_ttc_below_brake
1760011586.192,BRAKE,1726.8047781760463,0.0,0.0,140,dist_or_ttc_below_brake
1760011586.373,BRAKE,1723.8094880573506,0.0,0.0,140,dist_or_ttc_below_brake
1760011586.554,BRAKE,1723.8094880573506,0.0,0.0,140,dist_or_ttc_below_brake
1760011586.735,BRAKE,1735.9656928344102,0.0,0.0,140,dist_or_ttc_below_brake
1760011586.916,BRAKE,1766.979415700646,0.0,0.0,140,dist_or_ttc_below_brake
1760011587.097,BRAKE,1766.979415700646,0.0,0.0,140,dist_or_ttc_below_brake
1760011587.278,BRAKE,1732.167059768155,0.0,0.0,140,dist_or_ttc_below_brake
1760011587.459,BRAKE,1732.167059768155,0.0,0.0,140,dist_or_ttc_below_brake
1760011587.640,BRAKE,1697.8584377377429,0.0,0.0,140,dist_or_ttc_below_brake
1760011587.821,BRAKE,1744.5960943443572,0.0,0.0,140,dist_or_ttc_below_brake
1760011588.002,BRAKE,1757.0180250570581,0.0,0.0,140,dist_or_ttc_below_brake
1760011588.182,BRAKE,1757.0180250570581,0.0,0.0,140,dist_or_ttc_below_brake
1760011588.363,BRAKE,1702.844326013694,0.0,0.0,140,dist_or_ttc_below_brake
1760011588.544,BRAKE,1702.844326013694,0.0,0.0,140,dist_or_ttc_below_brake
1760011588.725,BRAKE,1723.3465956082164,0.0,0.0,140,dist_or_ttc_below_brake
1760011588.906,BRAKE,1723.3465956082164,0.0,0.0,140,dist_or_ttc_below_brake
1760011589.087,BRAKE,1685.483509767583,0.0,0.0,140,dist_or_ttc_below_brake
1760011589.268,BRAKE,1685.483509767583,0.0,0.0,140,dist_or_ttc_below_brake
1760011589.449,BRAKE,1733.5560423442198,0.0,0.0,140,dist_or_ttc_below_brake
1760011589.630,BRAKE,1738.8901058605497,0.0,0.0,140,dist_or_ttc_below_brake
1760011589.811,BRAKE,1779.0536254065319,0.0,0.0,140,dist_or_ttc_below_brake
1760011589.992,BRAKE,1779.0536254065319,0.0,0.0,140,dist_or_ttc_below_brake
1760011590.173,BRAKE,1754.6048700975675,0.0,0.0,140,dist_or_ttc_below_brake
1760011590.354,BRAKE,1705.7171688234162,0.0,0.0,140,dist_or_ttc_below_brake
1760011590.535,BRAKE,1705.7171688234162,0.0,0.0,140,dist_or_ttc_below_brake
1760011590.716,BRAKE,1734.56012051762,0.0,0.0,140,dist_or_ttc_below_brake
1760011590.897,BRAKE,1734.56012051762,0.0,0.0,140,dist_or_ttc_below_brake
1760011591.077,BRAKE,1734.404048207048,0.0,0.0,140,dist_or_ttc_below_brake
1760011591.259,BRAKE,1693.781619282819,0.0,0.0,140,dist_or_ttc_below_brake
1760011591.439,BRAKE,1693.781619282819,0.0,0.0,140,dist_or_ttc_below_brake
1760011591.621,BRAKE,1700.0275886278764,0.0,0.0,140,dist_or_ttc_below_brake
1760011591.801,BRAKE,1724.4965531767257,0.0,0.0,140,dist_or_ttc_below_brake
1760011591.982,BRAKE,1726.0579319060355,0.0,0.0,140,dist_or_ttc_below_brake
1760011592.163,BRAKE,1729.5147591436214,0.0,0.0,140,dist_or_ttc_below_brake
1760011592.344,BRAKE,1787.3888554861728,0.0,0.0,140,dist_or_ttc_below_brake
1760011592.525,BRAKE,1787.3888554861728,0.0,0.0,140,dist_or_ttc_below_brake
1760011592.706,BRAKE,1796.2179951900089,0.0,0.0,140,dist_or_ttc_below_brake
1760011592.887,BRAKE,1757.2133253166814,0.0,0.0,140,dist_or_ttc_below_brake
1760011593.068,BRAKE,1754.6271980760034,0.0,0.0,140,dist_or_ttc_below_brake
1760011593.249,BRAKE,1748.1185275382409,0.0,0.0,140,dist_or_ttc_below_brake
1760011593.430,BRAKE,1721.7308792304013,0.0,0.0,140,dist_or_ttc_below_brake
1760011593.611,BRAKE,1687.0204466091777,0.0,0.0,140,dist_or_ttc_below_brake
1760011593.792,BRAKE,1687.0204466091777,0.0,0.0,140,dist_or_ttc_below_brake
1760011593.973,BRAKE,1707.1722679655065,0.0,0.0,140,dist_or_ttc_below_brake
1760011594.154,BRAKE,1727.3893443117215,0.0,0.0,140,dist_or_ttc_below_brake
1760011594.335,BRAKE,1746.423360779304,0.0,0.0,140,dist_or_ttc_below_brake
1760011594.516,BRAKE,1758.5536065870328,0.0,0.0,140,dist_or_ttc_below_brake
1760011594.697,BRAKE,1772.3721639522196,0.0,0.0,140,dist_or_ttc_below_brake
