ts,d_q_mm,note
1760196345.195,NA,
1760196345.381,3813.0,
1760196345.569,3812.375,
1760196345.752,3811.75,
1760196345.945,3811.75,
1760196346.126,3811.75,
1760196346.304,3812.25,
1760196346.483,3814.0,
1760196346.661,3813.25,
1760196346.839,3814.75,
1760196347.020,3814.75,
1760196347.195,3814.75,
1760196347.366,3814.75,
1760196347.547,3814.75,
1760196347.718,3814.5,
1760196347.896,3814.5,
1760196348.069,3814.5,
1760196348.247,3814.0,
1760196348.428,3813.25,
1760196348.601,3813.25,
1760196348.785,3812.75,
1760196348.957,3812.5,
1760196349.141,3812.5,
1760196349.321,3813.0,
1760196349.495,3814.0,
1760196349.673,3814.0,
1760196349.851,3814.0,
1760196350.034,3815.5,
1760196350.210,3816.25,
1760196350.391,3816.25,
1760196350.566,3814.75,
1760196350.749,3814.25,
1760196350.930,3814.75,
1760196351.101,3814.25,
1760196351.282,3815.25,
1760196351.455,3813.5,
1760196351.636,3814.75,
1760196351.816,3814.75,
1760196351.987,3814.75,
1760196352.160,3814.25,
1760196352.341,3813.5,
1760196352.516,3813.5,
1760196352.692,3814.25,
1760196352.868,3814.25,
1760196353.048,3814.5,
1760196353.229,3813.75,
1760196353.400,3813.75,
1760196353.581,3812.75,
1760196353.756,3812.75,
1760196353.937,3814.0,
1760196354.113,3815.25,
1760196354.291,3815.25,
1760196354.466,3813.5,
1760196354.645,3813.5,
1760196354.828,3813.5,
1760196355.001,3813.5,
1760196355.182,313.0,
1760196355.355,274.0,
1760196355.540,274.0,
1760196355.719,280.0,
1760196355.894,280.0,
1760196356.075,280.0,
1760196356.251,283.0,
1760196356.432,359.5,
1760196356.612,3813.25,
1760196356.788,3814.0,
1760196356.969,3813.5,
1760196357.147,3813.5,
1760196357.330,3813.5,
1760196357.511,3813.75,
1760196357.686,3813.75,
1760196357.867,328.0,
1760196358.043,280.0,
1760196358.226,264.0,
1760196358.397,261.5,
1760196358.575,257.5,
1760196358.753,257.5,
1760196358.936,343.5,
1760196359.120,3814.25,
1760196359.293,3815.25,
1760196359.476,3815.25,
1760196359.649,3815.75,
1760196359.832,3814.25,
1760196360.011,3814.25,
1760196360.184,3814.25,
1760196360.364,3814.25,
1760196360.540,3814.25,
1760196360.723,3815.75,
1760196360.896,3815.75,
1760196361.077,3815.25,
1760196361.250,3815.25,
1760196361.436,3814.5,
1760196361.614,3815.5,
1760196361.788,3815.25,
1760196361.966,3815.25,
1760196362.141,3814.5,
1760196362.325,3814.25,
1760196362.505,3814.25,
1760196362.678,3814.5,
1760196362.852,3814.5,
1760196363.032,3814.5,
