ts,state,d_min_mm,ttc_s
1760202212.580,SAFE,,
1760202212.775,SAFE,3815.5,6.0
1760202212.974,SAFE,3816.0,6.0
1760202213.162,SAFE,3816.5,6.0
1760202213.350,SAFE,3817.0,6.0
1760202213.544,SAFE,3817.0,6.0
1760202213.722,SAFE,3817.0,6.0
1760202213.905,SAFE,3817.25,6.0
1760202214.078,SAFE,3817.25,6.0
1760202214.262,SAFE,3817.0,6.0
1760202214.435,SAFE,3817.0,6.0
1760202214.616,SAFE,3817.5,6.0
1760202214.794,SAFE,3818.0,6.0
1760202214.977,SAFE,3818.25,6.0
1760202215.155,SAFE,3818.0,6.0
1760202215.331,SAFE,3817.0,6.0
1760202215.512,SAFE,3817.0,6.0
1760202215.689,SAFE,3818.5,6.0
1760202215.873,SAFE,3818.5,6.0
1760202216.053,SAFE,3818.75,6.0
