ts,state,d_min_mm,v_mps,ttc_s
1760264036.655,SAFE,,0.0,
1760264036.821,SAFE,2918.0,0.0,0.0
1760264036.997,SAFE,2917.5,0.0,0.0
1760264037.172,SAFE,2918.0,0.0,0.0
1760264037.350,SAFE,2918.25,0.0,0.0
1760264037.526,SAFE,2918.25,0.0,0.0
1760264037.698,SAFE,2918.25,0.0,0.0
1760264037.870,SAFE,2919.5,0.0,0.0
1760264038.038,SAFE,2919.5,0.0,0.0
1760264038.211,SAFE,2919.5,0.0,0.0
1760264038.377,SAFE,2919.5,0.0,0.0
1760264038.545,SAFE,2920.5,0.0,0.0
1760264038.711,SAFE,2921.25,0.0,0.0
1760264038.884,SAFE,2924.25,0.0,0.0
1760264039.052,SAFE,2921.25,0.0,0.0
1760264039.223,SAFE,2921.25,0.0,0.0
1760264039.391,SAFE,2921.25,0.0,0.0
1760264039.564,SAFE,2920.5,0.0,0.0
1760264039.737,SAFE,2920.25,0.0,0.0
1760264039.908,SAFE,2917.0,0.0,0.0
1760264040.081,SAFE,273.0,0.0,0.0
1760264040.252,SAFE,245.0,0.0,0.0
1760264040.415,SAFE,227.5,0.0,0.0
1760264040.586,SAFE,226.5,0.0,0.0
1760264040.754,SAFE,226.5,0.0,0.0
1760264040.920,SAFE,2912.75,0.0,0.0
1760264041.088,SAFE,2921.25,0.0,0.0
1760264041.256,SAFE,2921.25,0.0,0.0
1760264041.426,SAFE,2920.5,0.0,0.0
1760264041.592,SAFE,2920.5,0.0,0.0
1760264041.760,SAFE,2920.75,0.0,0.0
1760264041.928,SAFE,2920.75,0.0,0.0
1760264042.094,SAFE,292.5,0.0,0.0
1760264042.262,SAFE,291.5,0.0,0.0
1760264042.433,SAFE,290.0,0.0,0.0
1760264042.601,SAFE,286.25,0.0,0.0
1760264042.770,SAFE,286.25,0.0,0.0
1760264042.940,SAFE,2919.25,0.0,0.0
1760264043.106,SAFE,2919.75,0.0,0.0
1760264043.279,SAFE,2919.75,0.0,0.0
1760264043.449,SAFE,2919.75,0.0,0.0
1760264043.620,SAFE,2919.0,0.0,0.0
1760264043.788,SAFE,2921.5,0.0,0.0
1760264043.959,SAFE,2919.0,0.0,0.0
1760264044.127,SAFE,289.25,0.0,0.0
1760264044.291,SAFE,287.0,0.0,0.0
1760264044.461,SAFE,287.0,0.0,0.0
1760264044.632,SAFE,287.0,0.0,0.0
1760264044.800,SAFE,288.0,0.0,0.0
1760264044.971,SAFE,2912.0,0.0,0.0
1760264045.141,SAFE,2918.5,0.0,0.0
1760264045.307,SAFE,2920.25,0.0,0.0
1760264045.480,SAFE,2918.5,0.0,0.0
1760264045.651,SAFE,2921.75,0.0,0.0
1760264045.819,SAFE,2918.75,0.0,0.0
1760264045.987,SAFE,2920.25,0.0,0.0
1760264046.160,SAFE,2920.25,0.0,0.0
1760264046.331,SAFE,2920.25,0.0,0.0
1760264046.496,SAFE,2921.0,0.0,0.0
1760264046.665,SAFE,2921.0,0.0,0.0
1760264046.835,SAFE,2921.0,0.0,0.0
1760264047.003,SAFE,2920.5,0.0,0.0
1760264047.174,SAFE,2920.5,0.0,0.0
1760264047.345,SAFE,2921.25,0.0,0.0
1760264047.515,SAFE,2921.5,0.0,0.0
1760264047.684,SAFE,2921.25,0.0,0.0
1760264047.854,SAFE,2921.5,0.0,0.0
1760264048.027,SAFE,2921.25,0.0,0.0
1760264048.195,SAFE,2920.5,0.0,0.0
1760264048.368,SAFE,2920.5,0.0,0.0
1760264048.544,SAFE,2925.25,0.0,0.0
1760264048.717,SAFE,3454.0,0.0,0.0
1760264048.896,SAFE,3636.5,0.0,0.0
1760264049.074,SAFE,3662.5,0.0,0.0
1760264049.247,SAFE,3676.5,0.0,0.0
1760264049.418,SAFE,3692.5,0.0,0.0
1760264049.589,SAFE,3704.5,0.0,0.0
1760264049.759,SAFE,3704.5,0.0,0.0
1760264049.928,SAFE,3661.5,0.0,0.0
1760264050.098,SAFE,3484.5,0.0,0.0
1760264050.271,SAFE,3447.5,0.0,0.0
1760264050.449,SAFE,3444.5,0.0,0.0
1760264050.618,SAFE,3444.5,0.0,0.0
1760264050.790,SAFE,3446.75,0.0,0.0
1760264050.961,SAFE,3448.5,0.0,0.0
1760264051.129,SAFE,3448.5,0.0,0.0
1760264051.300,SAFE,3447.0,0.0,0.0
1760264051.468,SAFE,3446.5,0.0,0.0
1760264051.639,SAFE,3446.5,0.0,0.0
1760264051.807,SAFE,3446.25,0.0,0.0
1760264051.973,SAFE,3446.25,0.0,0.0
1760264052.151,SAFE,3445.25,0.0,0.0
1760264052.326,SAFE,2914.5,0.0,0.0
1760264052.505,SAFE,2886.0,0.0,0.0
1760264052.685,SAFE,2867.75,0.0,0.0
1760264052.873,SAFE,2849.5,0.0,0.0
1760264053.049,SAFE,2839.5,0.0,0.0
1760264053.227,SAFE,2835.0,0.0,0.0
1760264053.401,SAFE,2834.0,0.0,0.0
1760264053.581,SAFE,2834.0,0.0,0.0
1760264053.762,SAFE,2835.25,0.0,0.0
1760264053.940,SAFE,2837.5,0.0,0.0
